Date,Open,High,Low,Close,Adj Close,Volume
4/8/2014,27740,27980,27500,27880,21326.34766,10608200
4/9/2014,27880,27900,27280,27420,20974.47461,16061600
4/10/2014,27380,27600,27200,27600,21112.16602,9999200
4/11/2014,27240,27360,27180,27300,20882.69336,10659350
4/14/2014,27300,27720,27300,27400,20959.18359,10586000
4/15/2014,27720,27740,27380,27400,20959.18359,10969800
4/16/2014,27400,27840,27260,27600,21112.16602,9308550
4/17/2014,27520,27600,27320,27400,20959.18359,7241650
4/18/2014,27400,27580,27400,27560,21081.57031,9518350
4/21/2014,27580,27720,27500,27600,21112.16602,3299250
4/22/2014,27480,27680,27420,27500,21035.67578,6084300
4/23/2014,27880,27900,27640,27780,21249.85547,9500750
4/24/2014,28180,28180,27980,28140,21525.23242,10546200
4/25/2014,28400,28560,27960,27980,21402.8418,15269800
4/28/2014,28080,28120,27640,27760,21234.56055,9431450
4/29/2014,27780,27900,27020,27200,20806.19141,10909200
4/30/2014,27600,27620,26520,26860,20546.11133,15047300
5/2/2014,27080,27180,26880,26920,20592.01172,14943350
5/7/2014,27000,27120,26800,26880,20561.41406,14189700
5/8/2014,27100,27100,26880,27000,20653.20313,16281900
5/9/2014,27120,27160,26520,26700,20423.72461,13157050
5/12/2014,26720,27900,26640,27760,21234.56055,15944800
5/13/2014,27760,28500,27760,28000,21418.13672,12107400
5/14/2014,28180,28300,28020,28300,21647.61914,11103750
5/15/2014,28280,28380,28060,28200,21571.12305,6806700
5/16/2014,28000,28740,27980,28560,21846.50391,15856500
5/19/2014,28560,29000,28160,28960,22152.47656,19281050
5/20/2014,28900,29080,28700,29020,22198.37109,16007300
5/21/2014,28700,29000,28700,28820,22045.39063,10842500
5/22/2014,28820,28960,28520,28520,21815.91211,9540000
5/23/2014,28100,28560,28100,28560,21846.50391,8511650
5/26/2014,28400,28640,28300,28440,21754.70703,3735600
5/27/2014,28340,28460,28060,28140,21525.23242,4748400
5/28/2014,28380,28700,28180,28660,21922.99609,9200950
5/29/2014,29000,29300,28800,29200,22336.06055,12521500
5/30/2014,29400,29640,28860,28860,22075.98438,15831050
